feature_index value label left right
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
-1 2.51973e-322 -1 -1 -1
